---summary report(20160125-20200101)---
No.(0)- Conditon: LastLimit(15), BUYPERCENT(0.98), DESTDVVALUE(6.00), duration(3)  Result:avgVal(0.75),totalCount(204), SelCount(19), selVal(26.595661) 


---detail report(20160125-20200101)---
No.(0)- Conditon: LastLimit(15), BUYPERCENT(0.98), DESTDVVALUE(6.00), duration(3)  Result:avgVal(0.75),totalCount(204), SelCount(19), selVal(26.595661) 
index(0), percent(39.71)  count(81) 
SH600095 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160301(1), dvSelltoBuy:6.00
SH600279 TBuyData:20160226(3), pvHi2Op(1.087), TSellData:20160302(3), dvSelltoBuy:6.00
SH600353 TBuyData:20160401(2), pvHi2Op(1.004), TSellData:20160406(2), dvSelltoBuy:6.00
SH600589 TBuyData:20160316(2), pvHi2Op(1.010), TSellData:20160317(1), dvSelltoBuy:6.00
SH600611 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160303(3), dvSelltoBuy:6.00
SH600671 TBuyData:20160512(1), pvHi2Op(0.000), TSellData:20160513(1), dvSelltoBuy:6.00
SH600773 TBuyData:20160311(3), pvHi2Op(1.007), TSellData:20160314(1), dvSelltoBuy:6.00
SH600776 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160303(3), dvSelltoBuy:6.00
SH600787 TBuyData:20160229(3), pvHi2Op(1.017), TSellData:20160303(3), dvSelltoBuy:6.00
SH600806 TBuyData:20160215(3), pvHi2Op(1.137), TSellData:20160217(1), dvSelltoBuy:6.00
SH600858 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160302(2), dvSelltoBuy:6.00
SH600963 TBuyData:20160301(4), pvHi2Op(1.029), TSellData:20160302(1), dvSelltoBuy:6.00
SH601011 TBuyData:20160801(2), pvHi2Op(1.002), TSellData:20160803(2), dvSelltoBuy:6.00
SH601699 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160301(1), dvSelltoBuy:6.00
SH601918 TBuyData:20160226(2), pvHi2Op(1.047), TSellData:20160229(1), dvSelltoBuy:6.00
SH603026 TBuyData:20160301(2), pvHi2Op(1.034), TSellData:20160302(1), dvSelltoBuy:6.00
SH603936 TBuyData:20160215(2), pvHi2Op(1.071), TSellData:20160216(1), dvSelltoBuy:6.00
SZ000008 TBuyData:20160302(1), pvHi2Op(0.000), TSellData:20160303(1), dvSelltoBuy:6.00
SZ000017 TBuyData:20160215(2), pvHi2Op(1.077), TSellData:20160216(1), dvSelltoBuy:6.00
SZ000040 TBuyData:20160215(3), pvHi2Op(1.047), TSellData:20160216(1), dvSelltoBuy:6.00
SZ000420 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160301(1), dvSelltoBuy:6.00
SZ000548 TBuyData:20160229(3), pvHi2Op(1.073), TSellData:20160301(1), dvSelltoBuy:6.00
SZ000554 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160301(1), dvSelltoBuy:6.00
SZ000592 TBuyData:20160802(2), pvHi2Op(1.033), TSellData:20160803(1), dvSelltoBuy:6.00
SZ000615 TBuyData:20160215(2), pvHi2Op(1.140), TSellData:20160216(1), dvSelltoBuy:6.00
SZ000626 TBuyData:20160509(3), pvHi2Op(1.002), TSellData:20160512(3), dvSelltoBuy:6.00
SZ000657 TBuyData:20160802(3), pvHi2Op(1.017), TSellData:20160804(2), dvSelltoBuy:6.00
SZ000676 TBuyData:20160520(3), pvHi2Op(1.015), TSellData:20160523(1), dvSelltoBuy:6.00
SZ000691 TBuyData:20160304(2), pvHi2Op(1.040), TSellData:20160307(1), dvSelltoBuy:6.00
SZ000698 TBuyData:20160301(2), pvHi2Op(1.092), TSellData:20160302(1), dvSelltoBuy:6.00
SZ000711 TBuyData:20160801(3), pvHi2Op(1.057), TSellData:20160802(1), dvSelltoBuy:6.00
