---summary report(20160125-20200101)---
No.(0)- Conditon: LastLimit(15), BUYPERCENT(0.98), DESTDVVALUE(6.00), duration(3)  Result:totalAvgVal(0.75),totalCount(204), SelCount(47), selAvg(0.01) 
No.(1)- Conditon: LastLimit(15), BUYPERCENT(0.99), DESTDVVALUE(5.00), duration(3)  Result:totalAvgVal(0.70),totalCount(257), SelCount(58), selAvg(0.28) 
No.(2)- Conditon: LastLimit(15), BUYPERCENT(1.00), DESTDVVALUE(6.00), duration(3)  Result:totalAvgVal(0.67),totalCount(322), SelCount(66), selAvg(0.56) 
No.(3)- Conditon: LastLimit(15), BUYPERCENT(0.99), DESTDVVALUE(6.00), duration(3)  Result:totalAvgVal(0.66),totalCount(257), SelCount(58), selAvg(-0.09) 
No.(4)- Conditon: LastLimit(15), BUYPERCENT(1.03), DESTDVVALUE(6.00), duration(3)  Result:totalAvgVal(0.65),totalCount(572), SelCount(90), selAvg(0.91) 
No.(5)- Conditon: LastLimit(15), BUYPERCENT(1.04), DESTDVVALUE(6.00), duration(3)  Result:totalAvgVal(0.60),totalCount(691), SelCount(105), selAvg(0.46) 
No.(6)- Conditon: LastLimit(15), BUYPERCENT(1.02), DESTDVVALUE(6.00), duration(3)  Result:totalAvgVal(0.56),totalCount(469), SelCount(81), selAvg(0.73) 
No.(7)- Conditon: LastLimit(15), BUYPERCENT(1.01), DESTDVVALUE(6.00), duration(3)  Result:totalAvgVal(0.53),totalCount(389), SelCount(74), selAvg(0.58) 
No.(8)- Conditon: LastLimit(15), BUYPERCENT(1.05), DESTDVVALUE(6.00), duration(3)  Result:totalAvgVal(0.53),totalCount(809), SelCount(114), selAvg(0.40) 
No.(9)- Conditon: LastLimit(15), BUYPERCENT(0.98), DESTDVVALUE(5.00), duration(3)  Result:totalAvgVal(0.52),totalCount(204), SelCount(47), selAvg(0.15) 
No.(10)- Conditon: LastLimit(15), BUYPERCENT(1.06), DESTDVVALUE(6.00), duration(3)  Result:totalAvgVal(0.49),totalCount(950), SelCount(124), selAvg(0.71) 
No.(11)- Conditon: LastLimit(15), BUYPERCENT(1.07), DESTDVVALUE(6.00), duration(3)  Result:totalAvgVal(0.49),totalCount(1089), SelCount(127), selAvg(0.42) 
No.(12)- Conditon: LastLimit(15), BUYPERCENT(0.99), DESTDVVALUE(4.00), duration(3)  Result:totalAvgVal(0.48),totalCount(257), SelCount(58), selAvg(0.35) 
No.(13)- Conditon: LastLimit(15), BUYPERCENT(1.04), DESTDVVALUE(5.00), duration(3)  Result:totalAvgVal(0.46),totalCount(691), SelCount(105), selAvg(0.33) 
No.(14)- Conditon: LastLimit(15), BUYPERCENT(1.03), DESTDVVALUE(5.00), duration(3)  Result:totalAvgVal(0.44),totalCount(572), SelCount(90), selAvg(0.72) 
No.(15)- Conditon: LastLimit(15), BUYPERCENT(1.01), DESTDVVALUE(5.00), duration(3)  Result:totalAvgVal(0.42),totalCount(389), SelCount(74), selAvg(0.47) 
No.(16)- Conditon: LastLimit(15), BUYPERCENT(1.02), DESTDVVALUE(5.00), duration(3)  Result:totalAvgVal(0.41),totalCount(469), SelCount(81), selAvg(0.60) 
No.(17)- Conditon: LastLimit(15), BUYPERCENT(1.00), DESTDVVALUE(5.00), duration(3)  Result:totalAvgVal(0.41),totalCount(322), SelCount(66), selAvg(0.32) 
No.(18)- Conditon: LastLimit(15), BUYPERCENT(1.00), DESTDVVALUE(4.00), duration(3)  Result:totalAvgVal(0.38),totalCount(323), SelCount(67), selAvg(0.49) 
No.(19)- Conditon: LastLimit(15), BUYPERCENT(1.07), DESTDVVALUE(5.00), duration(3)  Result:totalAvgVal(0.34),totalCount(1089), SelCount(127), selAvg(0.42) 
No.(20)- Conditon: LastLimit(15), BUYPERCENT(1.05), DESTDVVALUE(5.00), duration(3)  Result:totalAvgVal(0.33),totalCount(809), SelCount(114), selAvg(0.32) 
No.(21)- Conditon: LastLimit(15), BUYPERCENT(1.06), DESTDVVALUE(5.00), duration(3)  Result:totalAvgVal(0.32),totalCount(950), SelCount(124), selAvg(0.52) 
No.(22)- Conditon: LastLimit(15), BUYPERCENT(1.03), DESTDVVALUE(4.00), duration(3)  Result:totalAvgVal(0.24),totalCount(572), SelCount(90), selAvg(0.59) 
No.(23)- Conditon: LastLimit(15), BUYPERCENT(1.04), DESTDVVALUE(4.00), duration(3)  Result:totalAvgVal(0.24),totalCount(691), SelCount(105), selAvg(0.16) 
No.(24)- Conditon: LastLimit(15), BUYPERCENT(0.98), DESTDVVALUE(4.00), duration(3)  Result:totalAvgVal(0.21),totalCount(204), SelCount(47), selAvg(-0.17) 
No.(25)- Conditon: LastLimit(15), BUYPERCENT(1.02), DESTDVVALUE(4.00), duration(3)  Result:totalAvgVal(0.21),totalCount(469), SelCount(81), selAvg(0.37) 
No.(26)- Conditon: LastLimit(15), BUYPERCENT(1.07), DESTDVVALUE(4.00), duration(3)  Result:totalAvgVal(0.12),totalCount(1089), SelCount(127), selAvg(0.18) 
No.(27)- Conditon: LastLimit(15), BUYPERCENT(1.01), DESTDVVALUE(4.00), duration(3)  Result:totalAvgVal(0.11),totalCount(389), SelCount(74), selAvg(0.14) 
No.(28)- Conditon: LastLimit(15), BUYPERCENT(1.05), DESTDVVALUE(4.00), duration(3)  Result:totalAvgVal(0.10),totalCount(810), SelCount(115), selAvg(0.13) 
No.(29)- Conditon: LastLimit(15), BUYPERCENT(1.06), DESTDVVALUE(4.00), duration(3)  Result:totalAvgVal(0.09),totalCount(950), SelCount(124), selAvg(0.28) 


---detail report(20160125-20200101)---
No.(0)- Conditon: LastLimit(15), BUYPERCENT(0.98), DESTDVVALUE(6.00), duration(3)  Result:avgVal(0.75),totalCount(204), SelCount(47), selAvg(0.01) 
index(0), percent(38.30)  count(18) 
SH600075 TBuyData:20160801(2), pvHi2Op(1.000), TSellData:20160803(2), dvSelltoBuy:6.00
SH600095 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160301(1), dvSelltoBuy:6.00
SH600217 TBuyData:20160316(3), pvHi2Op(1.020), TSellData:20160318(2), dvSelltoBuy:6.00
SH600353 TBuyData:20160401(2), pvHi2Op(1.004), TSellData:20160406(2), dvSelltoBuy:6.00
SH600671 TBuyData:20160512(1), pvHi2Op(0.000), TSellData:20160513(1), dvSelltoBuy:6.00
SH600773 TBuyData:20160311(3), pvHi2Op(1.007), TSellData:20160314(1), dvSelltoBuy:6.00
SH600806 TBuyData:20160215(3), pvHi2Op(1.137), TSellData:20160217(1), dvSelltoBuy:6.00
SH600963 TBuyData:20160301(4), pvHi2Op(1.021), TSellData:20160302(1), dvSelltoBuy:6.00
SZ000008 TBuyData:20160302(1), pvHi2Op(0.000), TSellData:20160303(1), dvSelltoBuy:6.00
SZ000592 TBuyData:20160802(2), pvHi2Op(1.033), TSellData:20160803(1), dvSelltoBuy:6.00
SZ000676 TBuyData:20160520(3), pvHi2Op(1.015), TSellData:20160523(1), dvSelltoBuy:6.00
SZ002055 TBuyData:20160422(3), pvHi2Op(1.055), TSellData:20160425(1), dvSelltoBuy:6.00
SZ002123 TBuyData:20160613(4), pvHi2Op(1.008), TSellData:20160615(2), dvSelltoBuy:6.00
SZ002395 TBuyData:20160307(3), pvHi2Op(1.038), TSellData:20160308(1), dvSelltoBuy:6.00
SZ300063 TBuyData:20160526(3), pvHi2Op(1.014), TSellData:20160531(3), dvSelltoBuy:6.00
SZ300089 TBuyData:20160315(1), pvHi2Op(0.000), TSellData:20160317(2), dvSelltoBuy:6.00
SZ300313 TBuyData:20160519(3), pvHi2Op(1.053), TSellData:20160523(2), dvSelltoBuy:6.00
SZ300420 TBuyData:20160712(2), pvHi2Op(1.013), TSellData:20160713(1), dvSelltoBuy:6.00
index(1), percent(29.79)  count(14) 
SH600106 TBuyData:20160226(3), pvHi2Op(1.083), TSellData:20160302(3), dvSelltoBuy:3.55
SH600226 TBuyData:20160308(3), pvHi2Op(1.031), TSellData:20160311(3), dvSelltoBuy:-0.54
SH600262 TBuyData:20160225(3), pvHi2Op(1.011), TSellData:20160301(3), dvSelltoBuy:-0.79
SH600295 TBuyData:20160310(3), pvHi2Op(1.009), TSellData:20160315(3), dvSelltoBuy:0.73
SH600421 TBuyData:20160518(2), pvHi2Op(1.000), TSellData:20160523(3), dvSelltoBuy:-0.44
SH600569 TBuyData:20160426(3), pvHi2Op(1.020), TSellData:20160429(3), dvSelltoBuy:0.58
SH600715 TBuyData:20160614(4), pvHi2Op(1.000), TSellData:20160617(3), dvSelltoBuy:0.83
SH600716 TBuyData:20160304(2), pvHi2Op(1.032), TSellData:20160309(3), dvSelltoBuy:0.59
SH600864 TBuyData:20160429(2), pvHi2Op(1.021), TSellData:20160505(3), dvSelltoBuy:1.63
SZ000593 TBuyData:20160425(1), pvHi2Op(0.000), TSellData:20160428(3), dvSelltoBuy:1.30
SZ002412 TBuyData:20160516(2), pvHi2Op(1.011), TSellData:20160519(3), dvSelltoBuy:-0.63
SZ002425 TBuyData:20160303(1), pvHi2Op(0.000), TSellData:20160308(3), dvSelltoBuy:0.57
SZ002570 TBuyData:20160718(4), pvHi2Op(1.019), TSellData:20160721(3), dvSelltoBuy:0.47
SZ002760 TBuyData:20160811(4), pvHi2Op(1.036), TSellData:20160816(3), dvSelltoBuy:0.37
index(2), percent(29.79)  count(14) 
SH600401 TBuyData:20160509(3), pvHi2Op(1.014), TSellData:20160512(3), dvSelltoBuy:-7.61
SH600696 TBuyData:20160523(3), pvHi2Op(1.064), TSellData:20160526(3), dvSelltoBuy:-9.60
SH603085 TBuyData:20160511(3), pvHi2Op(1.031), TSellData:20160516(3), dvSelltoBuy:-4.29
SH603718 TBuyData:20160510(3), pvHi2Op(1.022), TSellData:20160513(3), dvSelltoBuy:-4.05
SZ000892 TBuyData:20160517(1), pvHi2Op(0.000), TSellData:20160520(3), dvSelltoBuy:-7.86
SZ002075 TBuyData:20160714(2), pvHi2Op(1.006), TSellData:20160719(3), dvSelltoBuy:-2.01
SZ002076 TBuyData:20160728(2), pvHi2Op(1.018), TSellData:20160802(3), dvSelltoBuy:-4.48
SZ002134 TBuyData:20160803(1), pvHi2Op(0.000), TSellData:20160808(3), dvSelltoBuy:-3.51
SZ002145 TBuyData:20160616(1), pvHi2Op(0.000), TSellData:20160621(3), dvSelltoBuy:-6.43
SZ002168 TBuyData:20160722(3), pvHi2Op(1.054), TSellData:20160727(3), dvSelltoBuy:-4.27
SZ002200 TBuyData:20160420(4), pvHi2Op(1.019), TSellData:20160425(3), dvSelltoBuy:-7.07
SZ002281 TBuyData:20160727(4), pvHi2Op(1.021), TSellData:20160801(3), dvSelltoBuy:-3.41
SZ002643 TBuyData:20160525(4), pvHi2Op(1.023), TSellData:20160530(3), dvSelltoBuy:-3.24
SZ300460 TBuyData:20160729(3), pvHi2Op(1.010), TSellData:20160803(3), dvSelltoBuy:-5.98
index(3), percent(2.13)  count(1) 
SH600136 TBuyData:20160513(1), pvHi2Op(0.000), TSellData:20160518(3), dvSelltoBuy:-11.17
No.(1)- Conditon: LastLimit(15), BUYPERCENT(0.99), DESTDVVALUE(5.00), duration(3)  Result:avgVal(0.70),totalCount(257), SelCount(58), selAvg(0.28) 
index(0), percent(43.10)  count(25) 
SH600075 TBuyData:20160801(2), pvHi2Op(1.000), TSellData:20160803(2), dvSelltoBuy:5.00
SH600095 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160301(1), dvSelltoBuy:5.00
SH600207 TBuyData:20160215(3), pvHi2Op(1.060), TSellData:20160216(1), dvSelltoBuy:5.00
SH600217 TBuyData:20160316(3), pvHi2Op(1.020), TSellData:20160318(2), dvSelltoBuy:5.00
