---summary report(20160125-20200101)---
No.(0)- Conditon: LastLimit(15), BUYPERCENT(1.03), DESTDVVALUE(6.00), duration(3)  Result:totalAvgVal(1.05),totalCount(371), SelCount(86), selAvg(0.99) 


---detail report(20160125-20200101)---
No.(0)- Conditon: LastLimit(15), BUYPERCENT(1.03), DESTDVVALUE(6.00), duration(3)  Result:avgVal(1.05),totalCount(371), SelCount(86), selAvg(0.99) 
index(0), percent(41.86)  count(36) 
SH600075 TBuyData:20160308(1), pvHi2Op(0.000), TSellData:20160309(1), dvSelltoBuy:6.00
SH600080 TBuyData:20160314(1), pvHi2Op(0.000), TSellData:20160315(1), dvSelltoBuy:6.00
SH600096 TBuyData:20160616(1), pvHi2Op(0.000), TSellData:20160617(1), dvSelltoBuy:6.00
SH600097 TBuyData:20160405(1), pvHi2Op(0.000), TSellData:20160406(1), dvSelltoBuy:6.00
SH600106 TBuyData:20160224(1), pvHi2Op(0.000), TSellData:20160225(1), dvSelltoBuy:6.00
SH600121 TBuyData:20160421(1), pvHi2Op(0.000), TSellData:20160422(1), dvSelltoBuy:6.00
SH600146 TBuyData:20160223(1), pvHi2Op(0.000), TSellData:20160224(1), dvSelltoBuy:6.00
SH600200 TBuyData:20160607(1), pvHi2Op(0.000), TSellData:20160608(1), dvSelltoBuy:6.00
SH600262 TBuyData:20160516(1), pvHi2Op(0.000), TSellData:20160517(1), dvSelltoBuy:6.00
SH600331 TBuyData:20160414(1), pvHi2Op(0.000), TSellData:20160415(1), dvSelltoBuy:6.00
SH600370 TBuyData:20160222(1), pvHi2Op(0.000), TSellData:20160223(1), dvSelltoBuy:6.00
SH600490 TBuyData:20160620(1), pvHi2Op(0.000), TSellData:20160621(1), dvSelltoBuy:6.00
SH600662 TBuyData:20160728(1), pvHi2Op(0.000), TSellData:20160729(1), dvSelltoBuy:6.00
SH600675 TBuyData:20160225(1), pvHi2Op(0.000), TSellData:20160226(1), dvSelltoBuy:6.00
SH600712 TBuyData:20160218(1), pvHi2Op(0.000), TSellData:20160219(1), dvSelltoBuy:6.00
SH600806 TBuyData:20160204(1), pvHi2Op(0.000), TSellData:20160205(1), dvSelltoBuy:6.00
SH600828 TBuyData:20160608(1), pvHi2Op(0.000), TSellData:20160613(1), dvSelltoBuy:6.00
SH600861 TBuyData:20160504(1), pvHi2Op(0.000), TSellData:20160505(1), dvSelltoBuy:6.00
SH600975 TBuyData:20160622(1), pvHi2Op(0.000), TSellData:20160623(1), dvSelltoBuy:6.00
SH601231 TBuyData:20160726(1), pvHi2Op(0.000), TSellData:20160727(1), dvSelltoBuy:6.00
SH601599 TBuyData:20160407(1), pvHi2Op(0.000), TSellData:20160408(1), dvSelltoBuy:6.00
SH601899 TBuyData:20160617(1), pvHi2Op(0.000), TSellData:20160620(1), dvSelltoBuy:6.00
SH603017 TBuyData:20160509(1), pvHi2Op(0.000), TSellData:20160510(1), dvSelltoBuy:6.00
SZ000025 TBuyData:20160325(1), pvHi2Op(0.000), TSellData:20160328(1), dvSelltoBuy:6.00
SZ000099 TBuyData:20160503(1), pvHi2Op(0.000), TSellData:20160504(1), dvSelltoBuy:6.00
SZ000421 TBuyData:20160426(1), pvHi2Op(0.000), TSellData:20160427(1), dvSelltoBuy:6.00
SZ000526 TBuyData:20160329(1), pvHi2Op(0.000), TSellData:20160331(2), dvSelltoBuy:6.00
SZ000676 TBuyData:20160307(1), pvHi2Op(0.000), TSellData:20160308(1), dvSelltoBuy:6.00
SZ000835 TBuyData:20160725(1), pvHi2Op(0.000), TSellData:20160726(1), dvSelltoBuy:6.00
SZ000971 TBuyData:20160621(1), pvHi2Op(0.000), TSellData:20160623(2), dvSelltoBuy:6.00
SZ002015 TBuyData:20160418(1), pvHi2Op(0.000), TSellData:20160419(1), dvSelltoBuy:6.00
SZ002504 TBuyData:20160810(1), pvHi2Op(0.000), TSellData:20160815(3), dvSelltoBuy:6.00
SZ002545 TBuyData:20160427(1), pvHi2Op(0.000), TSellData:20160506(1), dvSelltoBuy:6.00
SZ300126 TBuyData:20160217(1), pvHi2Op(0.000), TSellData:20160218(1), dvSelltoBuy:6.00
SZ300187 TBuyData:20160523(1), pvHi2Op(0.000), TSellData:20160526(3), dvSelltoBuy:6.00
SZ300380 TBuyData:20160324(1), pvHi2Op(0.000), TSellData:20160325(1), dvSelltoBuy:6.00
index(1), percent(31.40)  count(27) 
SH600063 TBuyData:20160303(1), pvHi2Op(0.000), TSellData:20160308(3), dvSelltoBuy:3.56
SH600075 TBuyData:20160729(1), pvHi2Op(0.000), TSellData:20160803(3), dvSelltoBuy:3.71
SH600146 TBuyData:20160524(1), pvHi2Op(0.000), TSellData:20160527(3), dvSelltoBuy:2.58
SH600353 TBuyData:20160331(1), pvHi2Op(0.000), TSellData:20160406(3), dvSelltoBuy:0.81
SH600610 TBuyData:20160720(1), pvHi2Op(0.000), TSellData:20160725(3), dvSelltoBuy:-0.73
SH600611 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160303(3), dvSelltoBuy:-1.48
SH600767 TBuyData:20160630(1), pvHi2Op(0.000), TSellData:20160705(3), dvSelltoBuy:-0.85
SH600770 TBuyData:20160520(1), pvHi2Op(0.000), TSellData:20160525(3), dvSelltoBuy:-1.37
SH600773 TBuyData:20160309(1), pvHi2Op(0.000), TSellData:20160314(3), dvSelltoBuy:0.01
SH603022 TBuyData:20160707(1), pvHi2Op(0.000), TSellData:20160712(3), dvSelltoBuy:2.92
