---summary report(20100101-21680808)---
No.(0)- Conditon:  DESTDVVALUE(3.00), duration(3)  Result:totalAvgVal(0.34),totalCount(155), SelCount(155), selAvg(0.34) 


---detail report(20100101-21680808)---
No.(0)- Conditon:  DESTDVVALUE(3.00), duration(3)  Result:avgVal(0.34),totalCount(155), SelCount(155), selAvg(0.34) 
index(0), percent(27.10)  count(42) 
SH600108 TBuyData:20111024, pvHi2Op(0.000), TSellData:20111027, dvSelltoBuy:5.80
SH600108 TBuyData:20120109, pvHi2Op(0.000), TSellData:20120112, dvSelltoBuy:4.83
SH600108 TBuyData:20120309, pvHi2Op(0.000), TSellData:20120314, dvSelltoBuy:17.94
SH600108 TBuyData:20120330, pvHi2Op(0.000), TSellData:20120410, dvSelltoBuy:6.51
SH600108 TBuyData:20120417, pvHi2Op(0.000), TSellData:20120420, dvSelltoBuy:6.49
SH600108 TBuyData:20120427, pvHi2Op(0.000), TSellData:20120504, dvSelltoBuy:4.12
SH600108 TBuyData:20120612, pvHi2Op(0.000), TSellData:20120615, dvSelltoBuy:3.22
SH600108 TBuyData:20120802, pvHi2Op(0.000), TSellData:20120807, dvSelltoBuy:4.88
SH600108 TBuyData:20120808, pvHi2Op(0.000), TSellData:20120813, dvSelltoBuy:4.11
SH600108 TBuyData:20121212, pvHi2Op(0.000), TSellData:20121217, dvSelltoBuy:6.76
SH600108 TBuyData:20130220, pvHi2Op(0.000), TSellData:20130225, dvSelltoBuy:3.90
SH600108 TBuyData:20130318, pvHi2Op(0.000), TSellData:20130321, dvSelltoBuy:4.50
SH600108 TBuyData:20130515, pvHi2Op(0.000), TSellData:20130520, dvSelltoBuy:3.32
SH600108 TBuyData:20130522, pvHi2Op(0.000), TSellData:20130527, dvSelltoBuy:6.52
SH600108 TBuyData:20130701, pvHi2Op(0.000), TSellData:20130704, dvSelltoBuy:7.47
SH600108 TBuyData:20130807, pvHi2Op(0.000), TSellData:20130812, dvSelltoBuy:4.08
SH600108 TBuyData:20130906, pvHi2Op(0.000), TSellData:20130911, dvSelltoBuy:8.26
SH600108 TBuyData:20130927, pvHi2Op(0.000), TSellData:20131009, dvSelltoBuy:25.03
SH600108 TBuyData:20131031, pvHi2Op(0.000), TSellData:20131105, dvSelltoBuy:3.16
SH600108 TBuyData:20131115, pvHi2Op(0.000), TSellData:20131120, dvSelltoBuy:9.98
SH600108 TBuyData:20131206, pvHi2Op(0.000), TSellData:20131211, dvSelltoBuy:5.09
SH600108 TBuyData:20140117, pvHi2Op(0.000), TSellData:20140122, dvSelltoBuy:3.79
SH600108 TBuyData:20140129, pvHi2Op(0.000), TSellData:20140210, dvSelltoBuy:4.48
SH600108 TBuyData:20140814, pvHi2Op(0.000), TSellData:20140819, dvSelltoBuy:12.70
SH600108 TBuyData:20140828, pvHi2Op(0.000), TSellData:20140902, dvSelltoBuy:4.31
SH600108 TBuyData:20140918, pvHi2Op(0.000), TSellData:20140923, dvSelltoBuy:5.31
SH600108 TBuyData:20141117, pvHi2Op(0.000), TSellData:20141120, dvSelltoBuy:6.35
SH600108 TBuyData:20141231, pvHi2Op(0.000), TSellData:20150107, dvSelltoBuy:7.30
SH600108 TBuyData:20150409, pvHi2Op(0.000), TSellData:20150414, dvSelltoBuy:7.98
SH600108 TBuyData:20150416, pvHi2Op(0.000), TSellData:20150421, dvSelltoBuy:8.28
SH600108 TBuyData:20150506, pvHi2Op(0.000), TSellData:20150511, dvSelltoBuy:3.50
SH600108 TBuyData:20150518, pvHi2Op(0.000), TSellData:20150521, dvSelltoBuy:4.94
SH600108 TBuyData:20150601, pvHi2Op(0.000), TSellData:20150604, dvSelltoBuy:3.69
SH600108 TBuyData:20150609, pvHi2Op(0.000), TSellData:20150612, dvSelltoBuy:6.85
SH600108 TBuyData:20150716, pvHi2Op(0.000), TSellData:20150721, dvSelltoBuy:14.51
SH600108 TBuyData:20150731, pvHi2Op(0.000), TSellData:20150805, dvSelltoBuy:4.10
SH600108 TBuyData:20150901, pvHi2Op(0.000), TSellData:20150908, dvSelltoBuy:7.69
SH600108 TBuyData:20151130, pvHi2Op(0.000), TSellData:20151203, dvSelltoBuy:5.94
SH600108 TBuyData:20160201, pvHi2Op(0.000), TSellData:20160204, dvSelltoBuy:3.43
SH600108 TBuyData:20160215, pvHi2Op(0.000), TSellData:20160218, dvSelltoBuy:5.98
SH600108 TBuyData:20160408, pvHi2Op(0.000), TSellData:20160414, dvSelltoBuy:4.00
SH600108 TBuyData:20160701, pvHi2Op(0.000), TSellData:20160706, dvSelltoBuy:4.59
index(1), percent(38.06)  count(59) 
SH600108 TBuyData:20111028, pvHi2Op(0.000), TSellData:20111102, dvSelltoBuy:2.89
SH600108 TBuyData:20111107, pvHi2Op(0.000), TSellData:20111110, dvSelltoBuy:0.92
SH600108 TBuyData:20111111, pvHi2Op(0.000), TSellData:20111116, dvSelltoBuy:-1.29
SH600108 TBuyData:20111206, pvHi2Op(0.000), TSellData:20111209, dvSelltoBuy:2.07
SH600108 TBuyData:20120120, pvHi2Op(0.000), TSellData:20120201, dvSelltoBuy:2.34
SH600108 TBuyData:20120203, pvHi2Op(0.000), TSellData:20120208, dvSelltoBuy:2.05
SH600108 TBuyData:20120209, pvHi2Op(0.000), TSellData:20120214, dvSelltoBuy:2.00
SH600108 TBuyData:20120301, pvHi2Op(0.000), TSellData:20120306, dvSelltoBuy:-0.74
SH600108 TBuyData:20120521, pvHi2Op(0.000), TSellData:20120524, dvSelltoBuy:-1.07
SH600108 TBuyData:20120627, pvHi2Op(0.000), TSellData:20120702, dvSelltoBuy:2.24
SH600108 TBuyData:20120718, pvHi2Op(0.000), TSellData:20120723, dvSelltoBuy:-0.55
SH600108 TBuyData:20120815, pvHi2Op(0.000), TSellData:20120820, dvSelltoBuy:-0.38
SH600108 TBuyData:20120919, pvHi2Op(0.000), TSellData:20120924, dvSelltoBuy:-0.96
SH600108 TBuyData:20120928, pvHi2Op(0.000), TSellData:20121010, dvSelltoBuy:2.90
SH600108 TBuyData:20121018, pvHi2Op(0.000), TSellData:20121023, dvSelltoBuy:-0.92
SH600108 TBuyData:20121029, pvHi2Op(0.000), TSellData:20121101, dvSelltoBuy:2.43
SH600108 TBuyData:20121115, pvHi2Op(0.000), TSellData:20121120, dvSelltoBuy:0.35
SH600108 TBuyData:20121129, pvHi2Op(0.000), TSellData:20121206, dvSelltoBuy:-0.88
SH600108 TBuyData:20130117, pvHi2Op(0.000), TSellData:20130122, dvSelltoBuy:2.12
SH600108 TBuyData:20130205, pvHi2Op(0.000), TSellData:20130208, dvSelltoBuy:2.06
SH600108 TBuyData:20130412, pvHi2Op(0.000), TSellData:20130417, dvSelltoBuy:0.32
SH600108 TBuyData:20130705, pvHi2Op(0.000), TSellData:20130710, dvSelltoBuy:-1.34
SH600108 TBuyData:20131125, pvHi2Op(0.000), TSellData:20131128, dvSelltoBuy:0.54
SH600108 TBuyData:20140214, pvHi2Op(0.000), TSellData:20140219, dvSelltoBuy:2.59
SH600108 TBuyData:20140314, pvHi2Op(0.000), TSellData:20140319, dvSelltoBuy:0.60
SH600108 TBuyData:20140326, pvHi2Op(0.000), TSellData:20140331, dvSelltoBuy:0.43
SH600108 TBuyData:20140411, pvHi2Op(0.000), TSellData:20140416, dvSelltoBuy:0.73
SH600108 TBuyData:20140429, pvHi2Op(0.000), TSellData:20140506, dvSelltoBuy:1.34
SH600108 TBuyData:20140508, pvHi2Op(0.000), TSellData:20140513, dvSelltoBuy:2.23
SH600108 TBuyData:20140521, pvHi2Op(0.000), TSellData:20140526, dvSelltoBuy:1.70
SH600108 TBuyData:20140611, pvHi2Op(0.000), TSellData:20140616, dvSelltoBuy:-0.18
SH600108 TBuyData:20140625, pvHi2Op(0.000), TSellData:20140630, dvSelltoBuy:0.92
SH600108 TBuyData:20140806, pvHi2Op(0.000), TSellData:20140811, dvSelltoBuy:0.62
SH600108 TBuyData:20141022, pvHi2Op(0.000), TSellData:20141027, dvSelltoBuy:1.30
SH600108 TBuyData:20141125, pvHi2Op(0.000), TSellData:20141128, dvSelltoBuy:2.54
SH600108 TBuyData:20150109, pvHi2Op(0.000), TSellData:20150114, dvSelltoBuy:0.42
SH600108 TBuyData:20150123, pvHi2Op(0.000), TSellData:20150128, dvSelltoBuy:0.79
SH600108 TBuyData:20150210, pvHi2Op(0.000), TSellData:20150213, dvSelltoBuy:2.18
SH600108 TBuyData:20150310, pvHi2Op(0.000), TSellData:20150313, dvSelltoBuy:-0.11
SH600108 TBuyData:20150320, pvHi2Op(0.000), TSellData:20150325, dvSelltoBuy:1.58
SH600108 TBuyData:20150402, pvHi2Op(0.000), TSellData:20150408, dvSelltoBuy:-0.49
SH600108 TBuyData:20150710, pvHi2Op(0.000), TSellData:20150715, dvSelltoBuy:1.35
SH600108 TBuyData:20150813, pvHi2Op(0.000), TSellData:20150818, dvSelltoBuy:-0.54
SH600108 TBuyData:20150924, pvHi2Op(0.000), TSellData:20150929, dvSelltoBuy:1.60
SH600108 TBuyData:20151119, pvHi2Op(0.000), TSellData:20151124, dvSelltoBuy:0.26
SH600108 TBuyData:20160226, pvHi2Op(0.000), TSellData:20160302, dvSelltoBuy:1.95
SH600108 TBuyData:20160309, pvHi2Op(0.000), TSellData:20160314, dvSelltoBuy:1.15
SH600108 TBuyData:20160323, pvHi2Op(0.000), TSellData:20160328, dvSelltoBuy:-0.70
SH600108 TBuyData:20160329, pvHi2Op(0.000), TSellData:20160401, dvSelltoBuy:1.10
SH600108 TBuyData:20160422, pvHi2Op(0.000), TSellData:20160427, dvSelltoBuy:-1.31
SH600108 TBuyData:20160513, pvHi2Op(0.000), TSellData:20160518, dvSelltoBuy:-1.41
SH600108 TBuyData:20160527, pvHi2Op(0.000), TSellData:20160601, dvSelltoBuy:2.86
SH600108 TBuyData:20160602, pvHi2Op(0.000), TSellData:20160607, dvSelltoBuy:1.78
SH600108 TBuyData:20160613, pvHi2Op(0.000), TSellData:20160616, dvSelltoBuy:1.85
SH600108 TBuyData:20160617, pvHi2Op(0.000), TSellData:20160622, dvSelltoBuy:0.20
SH600108 TBuyData:20160623, pvHi2Op(0.000), TSellData:20160628, dvSelltoBuy:-0.20
SH600108 TBuyData:20160707, pvHi2Op(0.000), TSellData:20160712, dvSelltoBuy:0.57
SH600108 TBuyData:20160715, pvHi2Op(0.000), TSellData:20160720, dvSelltoBuy:2.68
SH600108 TBuyData:20160729, pvHi2Op(0.000), TSellData:20160803, dvSelltoBuy:-0.59
index(2), percent(33.55)  count(52) 
SH600108 TBuyData:20111014, pvHi2Op(0.000), TSellData:20111019, dvSelltoBuy:-4.69
SH600108 TBuyData:20111117, pvHi2Op(0.000), TSellData:20111122, dvSelltoBuy:-2.06
SH600108 TBuyData:20111130, pvHi2Op(0.000), TSellData:20111205, dvSelltoBuy:-2.19
SH600108 TBuyData:20111220, pvHi2Op(0.000), TSellData:20111223, dvSelltoBuy:-2.55
SH600108 TBuyData:20120316, pvHi2Op(0.000), TSellData:20120321, dvSelltoBuy:-3.07
SH600108 TBuyData:20120322, pvHi2Op(0.000), TSellData:20120327, dvSelltoBuy:-5.66
SH600108 TBuyData:20120411, pvHi2Op(0.000), TSellData:20120416, dvSelltoBuy:-2.08
SH600108 TBuyData:20120509, pvHi2Op(0.000), TSellData:20120514, dvSelltoBuy:-3.11
SH600108 TBuyData:20120515, pvHi2Op(0.000), TSellData:20120518, dvSelltoBuy:-4.78
SH600108 TBuyData:20120601, pvHi2Op(0.000), TSellData:20120607, dvSelltoBuy:-7.57
SH600108 TBuyData:20120618, pvHi2Op(0.000), TSellData:20120621, dvSelltoBuy:-3.66
SH600108 TBuyData:20120725, pvHi2Op(0.000), TSellData:20120730, dvSelltoBuy:-4.76
SH600108 TBuyData:20120911, pvHi2Op(0.000), TSellData:20120914, dvSelltoBuy:-1.66
SH600108 TBuyData:20121105, pvHi2Op(0.000), TSellData:20121108, dvSelltoBuy:-2.91
SH600108 TBuyData:20121227, pvHi2Op(0.000), TSellData:20130104, dvSelltoBuy:-1.92
SH600108 TBuyData:20130308, pvHi2Op(0.000), TSellData:20130313, dvSelltoBuy:-3.70
SH600108 TBuyData:20130325, pvHi2Op(0.000), TSellData:20130328, dvSelltoBuy:-4.57
SH600108 TBuyData:20130424, pvHi2Op(0.000), TSellData:20130502, dvSelltoBuy:-4.54
SH600108 TBuyData:20130531, pvHi2Op(0.000), TSellData:20130605, dvSelltoBuy:-3.06
SH600108 TBuyData:20130725, pvHi2Op(0.000), TSellData:20130730, dvSelltoBuy:-3.18
