totalCount:110, totalS2BDVValue:-73.68
SH600909 TBuyData:20161213, buyDayOpen:13.90, dvSelltoBuy:9.08, oneValDay:5, isOpenLimit:NO
SH603336 TBuyData:20161213, buyDayOpen:40.88, dvSelltoBuy:25.87, oneValDay:13, isOpenLimit:NO
SH603633 TBuyData:20161212, buyDayOpen:46.60, dvSelltoBuy:5.00, oneValDay:17, isOpenLimit:NO
SZ002822 TBuyData:20161213, buyDayOpen:33.80, dvSelltoBuy:7.88, oneValDay:10, isOpenLimit:NO
SZ002823 TBuyData:20161212, buyDayOpen:58.00, dvSelltoBuy:5.00, oneValDay:12, isOpenLimit:NO
SZ300562 TBuyData:20161212, buyDayOpen:114.00, dvSelltoBuy:-11.40, oneValDay:18, isOpenLimit:NO
SZ300563 TBuyData:20161209, buyDayOpen:73.98, dvSelltoBuy:-4.40, oneValDay:19, isOpenLimit:NO
SZ300569 TBuyData:20161209, buyDayOpen:145.00, dvSelltoBuy:-15.74, oneValDay:10, isOpenLimit:NO
SH603727 TBuyData:20161202, buyDayOpen:62.00, dvSelltoBuy:5.88, oneValDay:8, isOpenLimit:NO
SH603977 TBuyData:20161202, buyDayOpen:37.44, dvSelltoBuy:12.23, oneValDay:15, isOpenLimit:NO
SH603060 TBuyData:20161129, buyDayOpen:50.00, dvSelltoBuy:-14.26, oneValDay:14, isOpenLimit:NO
SH603203 TBuyData:20161129, buyDayOpen:88.00, dvSelltoBuy:-9.72, oneValDay:15, isOpenLimit:NO
SH603858 TBuyData:20161129, buyDayOpen:155.41, dvSelltoBuy:-19.85, oneValDay:7, isOpenLimit:NO
SZ002818 TBuyData:20161121, buyDayOpen:72.46, dvSelltoBuy:5.00, oneValDay:8, isOpenLimit:NO
SH603258 TBuyData:20161115, buyDayOpen:82.60, dvSelltoBuy:-1.25, oneValDay:14, isOpenLimit:NO
SZ002816 TBuyData:20161117, buyDayOpen:60.34, dvSelltoBuy:5.00, oneValDay:17, isOpenLimit:YES
