SZ002785: avgDV:3.32
time:20160129, dvT0:3.32
SZ300492: avgDV:2.08
time:20160129, dvT0:2.08
SZ002738: avgDV:1.86
time:20150130, dvT0:3.04
time:20160129, dvT0:0.67
SZ300497: avgDV:1.52
time:20160129, dvT0:1.52
SZ002736: avgDV:1.45
time:20150130, dvT0:2.17
time:20160129, dvT0:0.73
SZ002782: avgDV:1.44
time:20160129, dvT0:1.44
SZ002354: avgDV:1.39
time:20120131, dvT0:1.14
time:20130131, dvT0:1.00
time:20140130, dvT0:2.63
time:20160129, dvT0:0.79
SH603996: avgDV:1.34
time:20160129, dvT0:1.34
SH603636: avgDV:1.33
time:20150130, dvT0:2.01
time:20160129, dvT0:0.66
SZ002780: avgDV:1.32
time:20160129, dvT0:1.32
SZ300226: avgDV:1.25
time:20120131, dvT0:0.99
time:20130131, dvT0:1.07
time:20140130, dvT0:1.90
time:20150130, dvT0:1.55
time:20160129, dvT0:0.73
SZ000626: avgDV:1.23
time:20120131, dvT0:1.07
time:20130131, dvT0:1.04
time:20140130, dvT0:0.94
time:20150130, dvT0:1.88
SH600765: avgDV:1.23
time:20120131, dvT0:0.97
time:20130131, dvT0:2.21
time:20140130, dvT0:0.98
time:20150130, dvT0:1.21
time:20160129, dvT0:0.79
SH600986: avgDV:1.23
time:20120131, dvT0:1.03
time:20130131, dvT0:1.09
time:20140130, dvT0:0.93
time:20150130, dvT0:1.87
SZ300043: avgDV:1.22
time:20120130, dvT0:0.68
time:20130131, dvT0:1.07
time:20140130, dvT0:1.80
time:20150130, dvT0:1.31
SZ002195: avgDV:1.21
time:20120131, dvT0:0.95
time:20130131, dvT0:1.10
time:20140127, dvT0:2.18
time:20150126, dvT0:1.15
time:20160129, dvT0:0.66
SH600699: avgDV:1.19
time:20120131, dvT0:1.04
time:20130131, dvT0:1.05
time:20140130, dvT0:1.46
time:20150130, dvT0:1.21
SZ300089: avgDV:1.19
time:20120131, dvT0:0.97
time:20130131, dvT0:0.99
time:20140130, dvT0:1.40
time:20150130, dvT0:1.40
SZ300104: avgDV:1.19
time:20120131, dvT0:0.90
time:20130131, dvT0:1.10
time:20140130, dvT0:1.26
time:20150130, dvT0:1.49
SZ000627: avgDV:1.18
time:20120131, dvT0:1.01
time:20130131, dvT0:1.24
time:20140130, dvT0:0.92
time:20150130, dvT0:2.02
time:20160129, dvT0:0.69
SZ002624: avgDV:1.18
time:20120131, dvT0:0.91
time:20130131, dvT0:1.02
time:20140130, dvT0:1.09
time:20150130, dvT0:1.14
time:20160129, dvT0:1.71
SZ002786: avgDV:1.17
time:20160129, dvT0:1.17
SZ300238: avgDV:1.17
time:20120131, dvT0:0.97
time:20130131, dvT0:1.29
time:20140130, dvT0:1.24
time:20150130, dvT0:1.20
SZ300292: avgDV:1.17
time:20140130, dvT0:1.17
time:20150130, dvT0:1.56
time:20160122, dvT0:0.79
SZ300129: avgDV:1.16
time:20120131, dvT0:0.94
time:20130131, dvT0:1.04
time:20140130, dvT0:1.97
time:20150126, dvT0:1.14
time:20160129, dvT0:0.71
SZ300287: avgDV:1.16
time:20130131, dvT0:1.06
time:20140130, dvT0:1.55
time:20150130, dvT0:1.34
time:20160129, dvT0:0.68
SZ002602: avgDV:1.16
time:20120131, dvT0:0.96
time:20130131, dvT0:1.08
time:20140130, dvT0:1.99
time:20160129, dvT0:0.60
SH600446: avgDV:1.16
time:20120131, dvT0:0.92
time:20130131, dvT0:1.14
time:20140130, dvT0:1.62
time:20150130, dvT0:1.44
time:20160129, dvT0:0.66
SZ002174: avgDV:1.15
time:20120130, dvT0:0.96
time:20130131, dvT0:1.03
