SZ000627: avgDV:1.18, LastDV:2.52
time:20120131, dvT0:1.01
time:20130131, dvT0:1.24
time:20140130, dvT0:0.92
time:20150130, dvT0:2.02
time:20160129, dvT0:0.69
SZ300129: avgDV:1.16, LastDV:2.77
time:20120131, dvT0:0.94
time:20130131, dvT0:1.04
time:20140130, dvT0:1.97
time:20150126, dvT0:1.14
time:20160129, dvT0:0.71
SH601519: avgDV:1.14, LastDV:1.79
time:20120131, dvT0:0.96
time:20130131, dvT0:1.11
time:20140130, dvT0:1.20
time:20150130, dvT0:1.77
time:20160129, dvT0:0.67
SH600228: avgDV:1.13, LastDV:0.96
time:20120131, dvT0:1.61
time:20130131, dvT0:1.32
time:20140130, dvT0:0.85
time:20150130, dvT0:1.17
time:20160129, dvT0:0.72
SZ002514: avgDV:1.13, LastDV:2.89
time:20120131, dvT0:1.02
time:20130131, dvT0:0.93
time:20140130, dvT0:1.32
time:20150130, dvT0:1.18
time:20160129, dvT0:1.21
SZ000851: avgDV:1.13, LastDV:1.77
time:20120131, dvT0:0.99
time:20130131, dvT0:1.07
time:20140130, dvT0:1.67
time:20150130, dvT0:1.18
time:20160129, dvT0:0.74
SZ002015: avgDV:1.13, LastDV:1.78
time:20120131, dvT0:1.11
time:20130131, dvT0:1.08
time:20140130, dvT0:0.97
time:20160129, dvT0:1.35
SZ000677: avgDV:1.13, LastDV:2.66
time:20130131, dvT0:1.30
time:20140130, dvT0:0.92
time:20160129, dvT0:1.16
SH600981: avgDV:1.12, LastDV:1.79
time:20120131, dvT0:1.08
time:20130131, dvT0:1.07
time:20140130, dvT0:1.01
time:20150130, dvT0:1.78
time:20160129, dvT0:0.68
SZ000156: avgDV:1.12, LastDV:2.42
time:20130131, dvT0:1.54
time:20140130, dvT0:1.24
time:20150130, dvT0:1.13
time:20160129, dvT0:0.58
SZ002114: avgDV:1.12, LastDV:2.79
time:20120131, dvT0:1.51
time:20130131, dvT0:1.29
time:20140130, dvT0:0.99
time:20150130, dvT0:1.10
time:20160129, dvT0:0.72
SZ002371: avgDV:1.12, LastDV:2.29
time:20120131, dvT0:1.01
time:20130131, dvT0:1.11
time:20140130, dvT0:1.07
time:20150130, dvT0:0.98
time:20160129, dvT0:1.44
SZ002383: avgDV:1.12, LastDV:2.01
time:20120131, dvT0:0.96
time:20130123, dvT0:1.20
time:20140130, dvT0:1.15
time:20150128, dvT0:1.17
SH600433: avgDV:1.12, LastDV:2.70
time:20120131, dvT0:1.03
time:20130131, dvT0:1.53
time:20140130, dvT0:1.13
time:20150130, dvT0:1.24
time:20160129, dvT0:0.65
SH600982: avgDV:1.11, LastDV:1.35
time:20120130, dvT0:1.02
time:20130131, dvT0:1.28
time:20140130, dvT0:1.03
time:20150130, dvT0:1.13
SZ000066: avgDV:1.11, LastDV:2.06
time:20120131, dvT0:0.99
time:20130131, dvT0:1.01
time:20140130, dvT0:1.13
time:20150130, dvT0:1.32
SZ002653: avgDV:1.11, LastDV:2.86
time:20130131, dvT0:1.31
time:20140130, dvT0:1.14
time:20150130, dvT0:1.33
time:20160129, dvT0:0.68
SZ000829: avgDV:1.11, LastDV:1.68
time:20120131, dvT0:1.00
time:20130131, dvT0:1.13
time:20140130, dvT0:1.27
time:20150130, dvT0:1.05
SZ000585: avgDV:1.11, LastDV:2.50
time:20120131, dvT0:1.04
time:20130131, dvT0:1.22
time:20140130, dvT0:0.96
time:20150130, dvT0:1.21
SH601700: avgDV:1.11, LastDV:2.38
time:20120131, dvT0:0.87
time:20130131, dvT0:1.23
time:20140130, dvT0:1.18
time:20150130, dvT0:1.56
time:20160115, dvT0:0.69
SZ300148: avgDV:1.11, LastDV:2.85
time:20120131, dvT0:0.93
time:20130131, dvT0:1.05
time:20140130, dvT0:1.38
time:20150130, dvT0:1.09
time:20160129, dvT0:1.07
SH600898: avgDV:1.10, LastDV:2.43
time:20120131, dvT0:1.03
time:20130131, dvT0:1.06
time:20140130, dvT0:1.01
time:20150130, dvT0:1.17
time:20160127, dvT0:1.25
SZ002048: avgDV:1.10, LastDV:2.68
time:20120131, dvT0:1.11
time:20130131, dvT0:1.01
time:20140130, dvT0:1.30
time:20150130, dvT0:1.00
SZ000510: avgDV:1.10, LastDV:1.09
time:20120131, dvT0:1.30
time:20130131, dvT0:1.44
time:20140130, dvT0:0.97
time:20150116, dvT0:1.06
time:20160129, dvT0:0.74
SH600469: avgDV:1.10, LastDV:1.60
time:20120131, dvT0:1.09
time:20130131, dvT0:1.10
time:20140130, dvT0:0.96
time:20150130, dvT0:1.27
SZ000553: avgDV:1.10, LastDV:2.04
time:20120131, dvT0:1.08
time:20130131, dvT0:1.23
time:20140130, dvT0:1.05
time:20150130, dvT0:1.04
SZ002440: avgDV:1.10, LastDV:1.93
time:20120131, dvT0:0.99
time:20130131, dvT0:1.41
time:20140130, dvT0:1.13
time:20150130, dvT0:1.26
time:20160129, dvT0:0.69
SZ002379: avgDV:1.10, LastDV:1.95
time:20120131, dvT0:1.12
time:20130131, dvT0:1.16
time:20140130, dvT0:1.13
time:20150130, dvT0:0.99
SZ002649: avgDV:1.10, LastDV:2.70
time:20130131, dvT0:1.17
time:20140130, dvT0:1.22
time:20150130, dvT0:1.29
time:20160129, dvT0:0.70
SZ002410: avgDV:1.10, LastDV:2.06
time:20120131, dvT0:0.82
time:20130131, dvT0:1.19
time:20140130, dvT0:1.50
time:20150130, dvT0:1.35
time:20160129, dvT0:0.62
SH600894: avgDV:1.09, LastDV:2.32
time:20120131, dvT0:0.99
time:20130131, dvT0:1.22
time:20140130, dvT0:1.26
time:20150130, dvT0:1.32
time:20160129, dvT0:0.69
SZ002151: avgDV:1.09, LastDV:2.53
time:20120131, dvT0:1.01
time:20130131, dvT0:1.54
time:20140130, dvT0:1.09
time:20150130, dvT0:1.13
time:20160129, dvT0:0.70
