No0 SZ000627: avgDV:1.18, avgHighDV:1.40, LastDV:2.52
time:20120131, dvT0:1.01, dvHigh:1.08
time:20130131, dvT0:1.24, dvHigh:1.27
time:20140130, dvT0:0.92, dvHigh:1.00
time:20150130, dvT0:2.02, dvHigh:2.60
time:20160129, dvT0:0.69, dvHigh:1.02
No1 SZ300129: avgDV:1.16, avgHighDV:1.26, LastDV:2.77
time:20120131, dvT0:0.94, dvHigh:1.04
time:20130131, dvT0:1.04, dvHigh:1.10
time:20140130, dvT0:1.97, dvHigh:1.99
time:20150126, dvT0:1.14, dvHigh:1.15
time:20160129, dvT0:0.71, dvHigh:1.00
No2 SH601519: avgDV:1.14, avgHighDV:1.24, LastDV:1.79
time:20120131, dvT0:0.96, dvHigh:1.06
time:20130131, dvT0:1.11, dvHigh:1.16
time:20140130, dvT0:1.20, dvHigh:1.20
time:20150130, dvT0:1.77, dvHigh:1.77
time:20160129, dvT0:0.67, dvHigh:1.00
No3 SH600228: avgDV:1.13, avgHighDV:1.33, LastDV:0.96
time:20120131, dvT0:1.61, dvHigh:1.61
time:20130131, dvT0:1.32, dvHigh:1.55
time:20140130, dvT0:0.85, dvHigh:1.25
time:20150130, dvT0:1.17, dvHigh:1.22
time:20160129, dvT0:0.72, dvHigh:1.00
No4 SZ002514: avgDV:1.13, avgHighDV:1.29, LastDV:2.89
time:20120131, dvT0:1.02, dvHigh:1.05
time:20130131, dvT0:0.93, dvHigh:1.07
time:20140130, dvT0:1.32, dvHigh:1.34
time:20150130, dvT0:1.18, dvHigh:1.27
time:20160129, dvT0:1.21, dvHigh:1.72
No5 SZ000851: avgDV:1.13, avgHighDV:1.24, LastDV:1.77
time:20120131, dvT0:0.99, dvHigh:1.10
time:20130131, dvT0:1.07, dvHigh:1.14
time:20140130, dvT0:1.67, dvHigh:1.70
time:20150130, dvT0:1.18, dvHigh:1.23
time:20160129, dvT0:0.74, dvHigh:1.02
No6 SZ002015: avgDV:1.13, avgHighDV:1.32, LastDV:1.78
time:20120131, dvT0:1.11, dvHigh:1.17
time:20130131, dvT0:1.08, dvHigh:1.24
time:20140130, dvT0:0.97, dvHigh:1.05
time:20160129, dvT0:1.35, dvHigh:1.83
No7 SZ000677: avgDV:1.13, avgHighDV:1.21, LastDV:2.66
time:20130131, dvT0:1.30, dvHigh:1.44
time:20140130, dvT0:0.92, dvHigh:1.04
time:20160129, dvT0:1.16, dvHigh:1.16
No8 SH600981: avgDV:1.12, avgHighDV:1.21, LastDV:1.79
time:20120131, dvT0:1.08, dvHigh:1.12
time:20130131, dvT0:1.07, dvHigh:1.07
time:20140130, dvT0:1.01, dvHigh:1.06
time:20150130, dvT0:1.78, dvHigh:1.78
time:20160129, dvT0:0.68, dvHigh:1.01
No9 SZ000156: avgDV:1.12, avgHighDV:1.31, LastDV:2.42
time:20130131, dvT0:1.54, dvHigh:1.81
time:20140130, dvT0:1.24, dvHigh:1.24
time:20150130, dvT0:1.13, dvHigh:1.18
time:20160129, dvT0:0.58, dvHigh:1.03
No10 SZ002114: avgDV:1.12, avgHighDV:1.28, LastDV:2.79
time:20120131, dvT0:1.51, dvHigh:1.62
time:20130131, dvT0:1.29, dvHigh:1.48
time:20140130, dvT0:0.99, dvHigh:1.09
time:20150130, dvT0:1.10, dvHigh:1.20
time:20160129, dvT0:0.72, dvHigh:1.01
No11 SZ002371: avgDV:1.12, avgHighDV:1.19, LastDV:2.29
time:20120131, dvT0:1.01, dvHigh:1.13
time:20130131, dvT0:1.11, dvHigh:1.11
